,ck_trieda,ck_cislo,spravcovske_cislo,ID_most,rok_postavenia,stav_kod,stav_slovom,lon,lat,rok_data
223,Cesta III. triedy,1015,2,M1457,1000.0,-1,Neznámy,17.105866739,48.221040203,2021
224,Diaľnica,D00001,223,M9744,2014.0,-1,Neznámy,18.95738,49.10869,2021
225,Diaľnica,D00003,13,M6893,1800.0,-1,Neznámy,18.643046,49.242143,2021
226,Diaľnica,D00003,12,M3247,2007.0,-1,Neznámy,18.640805735,49.239606164,2021
227,Cesta III. triedy,1020,134,M9422,1997.0,-1,Neznámy,17.10169,48.06969,2021
228,Diaľnica,D00003,5,M9282,2007.0,-1,Neznámy,18.609676,49.225134,2021
229,Diaľnica,D00001,D1-178.5,M9653,2010.0,-1,Neznámy,18.44532,49.12452,2021
230,Diaľnica,D00003,D3-083,M9740,2016.0,-1,Neznámy,18.91396,49.49921,2021
231,Diaľnica,D00003,9,M9308,2007.0,-1,Neznámy,18.61781,49.2277,2021
232,Diaľnica,D00003,7,M9290,2007.0,-1,Neznámy,18.616705,49.227395,2021
233,Diaľnica,D00003,D3-084,M9741,2016.0,-1,Neznámy,18.92064,49.49994,2021
234,Diaľnica,D00003,D3-082,M9774,2016.0,-1,Neznámy,18.89921,49.50379,2021
235,Diaľnica,D00001,11,M9410,1983.0,-1,Neznámy,17.131368,48.131624,2021
236,Diaľnica,D00001,251,M3387,2007.0,-1,Neznámy,19.996629374,49.069434363,2021
237,Diaľnica,R00003,obj. 205,M5164,2007.0,-1,Neznámy,19.375848687,49.259757015,2021
238,Diaľnica,D00001,413,M9625,2015.0,-1,Neznámy,21.10436,49.00093,2021
239,Diaľnica,D00001,402,M9636,2015.0,-1,Neznámy,20.99811,49.02667,2021
240,Diaľnica,D00001,205L,M9522,2009.0,-1,Neznámy,21.11986074,49.005220113,2021
241,Diaľnica,D00001,206L,M9524,2010.0,-1,Neznámy,21.12796084,49.00735239,2021
242,Diaľnica,D00001,207L,M9526,2010.0,-1,Neznámy,21.14110195,49.00750799,2021
243,Diaľnica,D00001,214L,M9530,2010.0,-1,Neznámy,21.16058768,49.00334453,2021
244,Diaľnica,D00001,208L,M9528,2010.0,-1,Neznámy,21.17558079,49.00286667,2021
245,Diaľnica,D00001,023A.8,M9414,2002.0,-1,Neznámy,17.183007,48.161561,2021
